date,latitude,longitude,temperature_instant_°C,precipitation_mm,predictability_percent,temperature_min_°C,temperature_max_°C,temperature_mean_°C,sealevelpressure_min_hPa,sealevelpressure_max_hPa,sealevelpressure_mean_hPa,windspeed_min_ms-1,windspeed_max_ms-1,windspeed_mean_ms-1,humiditygreater90_hours_percent,convective_precipitation_percent,relativehumidity_min_percent,relativehumidity_max_percent,relativehumidity_mean_percent,winddirection_degree,precipitation_probability_percent,uvindex,rainspot,predictability_class
2025-05-13,16.858833,16.858833,27.06,2.0,47,26.27,33.0,29.27,1004,1008,1006,1.13,2.83,2.08,0.08,2.0,71,92,82,135,62,7,3323333232233323333332232233223323322333232222222,3.0
2025-05-14,16.858833,16.858833,27.61,10.9,50,25.88,30.1,27.87,1005,1009,1007,1.58,3.39,2.38,0.17,10.9,82,99,90,135,76,5,3333333333333333333333333333333333333333332233333,3.0
2025-05-15,16.858833,16.858833,25.88,43.3,48,25.58,27.03,26.18,1005,1008,1007,1.97,3.83,2.83,0.54,43.3,94,100,98,135,90,6,3333333333333333333333333333333333333333333333333,3.0
2025-05-13,16.858833,16.858833,27.06,2.0,47,26.27,33.0,29.27,1004,1008,1006,1.13,2.83,2.08,0.08,2.0,71,92,82,135,62,7,3323333232233323333332232233223323322333232222222,3.0
2025-05-14,16.858833,16.858833,27.61,10.9,50,25.88,30.1,27.87,1005,1009,1007,1.58,3.39,2.38,0.17,10.9,82,99,90,135,76,5,3333333333333333333333333333333333333333332233333,3.0
2025-05-15,16.858833,16.858833,25.88,43.3,48,25.58,27.03,26.18,1005,1008,1007,1.97,3.83,2.83,0.54,43.3,94,100,98,135,90,6,3333333333333333333333333333333333333333333333333,3.0
2025-05-13,16.858833,16.858833,27.06,2.0,47,26.27,33.0,29.27,1004,1008,1006,1.13,2.83,2.08,0.08,2.0,71,92,82,135,62,7,3323333232233323333332232233223323322333232222222,3.0
2025-05-14,16.858833,16.858833,27.61,10.9,50,25.88,30.1,27.87,1005,1009,1007,1.58,3.39,2.38,0.17,10.9,82,99,90,135,76,5,3333333333333333333333333333333333333333332233333,3.0
2025-05-15,16.858833,16.858833,25.88,43.3,48,25.58,27.03,26.18,1005,1008,1007,1.97,3.83,2.83,0.54,43.3,94,100,98,135,90,6,3333333333333333333333333333333333333333333333333,3.0
2025-05-13,16.858833,16.858833,27.06,2.0,47,26.27,33.0,29.27,1004,1008,1006,1.13,2.83,2.08,0.08,2.0,71,92,82,135,62,7,3323333232233323333332232233223323322333232222222,3.0
2025-05-14,16.858833,16.858833,27.61,10.9,50,25.88,30.1,27.87,1005,1009,1007,1.58,3.39,2.38,0.17,10.9,82,99,90,135,76,5,3333333333333333333333333333333333333333332233333,3.0
2025-05-15,16.858833,16.858833,25.88,43.3,48,25.58,27.03,26.18,1005,1008,1007,1.97,3.83,2.83,0.54,43.3,94,100,98,135,90,6,3333333333333333333333333333333333333333333333333,3.0
2025-05-13,16.858833,16.858833,27.06,2.0,47,26.27,33.0,29.27,1004,1008,1006,1.13,2.83,2.08,0.08,2.0,71,92,82,135,62,7,3323333232233323333332232233223323322333232222222,3.0
2025-05-14,16.858833,16.858833,27.61,10.9,50,25.88,30.1,27.87,1005,1009,1007,1.58,3.39,2.38,0.17,10.9,82,99,90,135,76,5,3333333333333333333333333333333333333333332233333,3.0
2025-05-15,16.858833,16.858833,25.88,43.3,48,25.58,27.03,26.18,1005,1008,1007,1.97,3.83,2.83,0.54,43.3,94,100,98,135,90,6,3333333333333333333333333333333333333333333333333,3.0
2025-05-13,16.858833,16.858833,27.06,2.0,47,26.27,33.0,29.27,1004,1008,1006,1.13,2.83,2.08,0.08,2.0,71,92,82,135,62,7,3323333232233323333332232233223323322333232222222,3.0
2025-05-14,16.858833,16.858833,27.61,10.9,50,25.88,30.1,27.87,1005,1009,1007,1.58,3.39,2.38,0.17,10.9,82,99,90,135,76,5,3333333333333333333333333333333333333333332233333,3.0
2025-05-15,16.858833,16.858833,25.88,43.3,48,25.58,27.03,26.18,1005,1008,1007,1.97,3.83,2.83,0.54,43.3,94,100,98,135,90,6,3333333333333333333333333333333333333333333333333,3.0
2025-05-13,16.858833,16.858833,27.06,2.0,47,26.27,33.0,29.27,1004,1008,1006,1.13,2.83,2.08,0.08,2.0,71,92,82,135,62,7,3323333232233323333332232233223323322333232222222,3.0
2025-05-14,16.858833,16.858833,27.61,10.9,50,25.88,30.1,27.87,1005,1009,1007,1.58,3.39,2.38,0.17,10.9,82,99,90,135,76,5,3333333333333333333333333333333333333333332233333,3.0
2025-05-15,16.858833,16.858833,25.88,43.3,48,25.58,27.03,26.18,1005,1008,1007,1.97,3.83,2.83,0.54,43.3,94,100,98,135,90,6,3333333333333333333333333333333333333333333333333,3.0
2025-05-13,16.858833,16.858833,27.06,2.0,47,26.27,33.0,29.27,1004,1008,1006,1.13,2.83,2.08,0.08,2.0,71,92,82,135,62,7,3323333232233323333332232233223323322333232222222,3.0
2025-05-14,16.858833,16.858833,27.61,10.9,50,25.88,30.1,27.87,1005,1009,1007,1.58,3.39,2.38,0.17,10.9,82,99,90,135,76,5,3333333333333333333333333333333333333333332233333,3.0
