date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,visibility,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,precipitation,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_speed_180m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_direction_180m,wind_gusts_10m,temperature_80m,temperature_120m,temperature_180m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
2025-05-10 00:00:00+00:00,27.9585,91.0,26.351173,34.926838,0.0,0.0,0.0,0.0,0.0,3.0,1007.1,1006.41455,98.0,28.0,5.0,95.0,24140.0,0.01,0.027682722,0.3389511,0.0,4.6938252,11.928989,16.09969,20.380579,265.60138,275.19434,280.30478,287.47485,9.72,27.6585,27.258501,26.8585,28.5585,28.6585,30.5585,30.1585,0.265,0.269,0.295,0.317,0.365
2025-05-10 01:00:00+00:00,29.4585,85.0,26.670076,36.272488,3.0,0.0,0.0,0.0,0.0,3.0,1008.0,1007.31744,93.0,47.0,4.0,80.0,24140.0,0.08,0.14925975,0.61613584,0.0,7.2805495,9.114471,11.440978,17.992796,278.53067,279.09018,282.72437,289.88525,14.04,28.1585,27.4585,26.8585,32.2585,29.3585,30.4585,30.1585,0.265,0.27,0.294,0.317,0.365
2025-05-10 02:00:00+00:00,31.0585,75.0,26.10403,37.123848,10.0,0.0,0.0,0.0,0.0,3.0,1008.7,1008.02045,95.0,48.0,0.0,84.0,24140.0,0.21000002,0.31197846,1.1254094,0.0,9.659814,11.753877,12.24,12.7279215,296.56497,297.3498,298.0724,298.7397,19.08,29.3585,28.6585,27.758501,35.0085,30.7085,30.4085,30.1585,0.26,0.27,0.294,0.317,0.365
2025-05-10 03:00:00+00:00,32.5085,67.0,25.588259,38.44527,15.0,0.0,0.0,0.0,0.0,3.0,1008.9,1008.2238,88.0,50.0,0.0,66.0,24140.0,0.32,0.44046992,1.6126335,0.0,8.427383,9.565437,9.693296,9.693296,289.9832,289.79895,291.80148,291.80148,19.08,30.4585,29.6585,28.8585,38.2585,32.2585,30.508501,30.1585,0.252,0.27,0.293,0.316,0.365
2025-05-10 04:00:00+00:00,33.608498,61.0,25.050156,40.064278,25.0,0.0,0.0,0.0,0.0,3.0,1008.2,1007.5264,85.0,44.0,37.0,57.0,24140.0,0.41,0.54949737,2.027145,0.0,7.69592,8.825508,9.178235,9.178235,280.78424,281.76825,281.3099,281.3099,16.56,31.258501,30.5585,29.6585,39.4585,33.9585,30.6585,30.1585,0.244,0.268,0.292,0.316,0.365
2025-05-10 05:00:00+00:00,34.358498,57.0,24.615305,40.81184,23.0,0.0,0.0,0.0,0.0,3.0,1007.4,1006.7287,92.0,52.0,35.0,70.0,24140.0,0.45,0.596301,2.3304496,0.0,7.6367526,8.707238,8.707238,8.707238,278.13,277.1249,277.1249,277.1249,16.56,31.9585,31.1585,30.3585,40.7085,35.2085,30.9585,30.1585,0.235,0.265,0.292,0.316,0.364
2025-05-10 06:00:00+00:00,35.658497,51.0,23.961386,42.768173,28.0,0.0,0.0,0.0,0.0,3.0,1006.3,1005.63214,89.0,52.0,38.0,63.0,12340.0,0.5,0.7036849,2.853572,0.0,6.12,7.2,7.2,7.208994,270.0,270.0,270.0,272.86234,15.84,32.858498,32.158497,31.258501,43.2085,36.5085,31.258501,30.1585,0.222,0.262,0.291,0.315,0.364
2025-05-10 07:00:00+00:00,36.0585,48.0,23.320581,42.027405,25.0,0.0,0.0,0.0,0.0,3.0,1005.4,1004.7337,100.0,56.0,8.0,100.0,23880.0,0.48,0.6400755,3.095717,0.0,6.87779,7.5685663,7.5685663,7.5685663,263.9911,267.27374,267.27374,267.27374,15.119999,33.5585,32.858498,31.9585,41.4585,37.358498,31.6585,30.2085,0.209,0.259,0.29,0.315,0.364
2025-05-10 08:00:00+00:00,35.608498,49.0,23.251589,40.299446,35.0,0.0,0.0,0.0,0.0,3.0,1004.5,1003.8333,100.0,55.0,54.0,100.0,24140.0,0.40000004,0.49423146,2.9620886,0.0,7.0911775,7.754637,7.968939,7.968939,246.0375,248.19853,251.56496,251.56496,15.119999,33.4585,32.7585,31.8585,40.0085,37.358498,32.0085,30.2085,0.204,0.255,0.289,0.315,0.364
2025-05-10 09:00:00+00:00,35.108498,52.0,23.778877,40.23436,40.0,0.0,0.1,0.0,0.0,3.0,1004.0,1003.3327,100.0,75.0,71.0,100.0,24140.0,0.32,0.33056372,2.711945,0.1,5.634891,6.297428,6.489992,6.696387,206.56499,210.96368,213.6901,216.25392,14.04,33.5585,32.858498,31.9585,36.5085,36.7585,32.3085,30.2085,0.208,0.253,0.289,0.314,0.364
