date,latitude,longitude,township,timezone,summary,precipProbability,precipIntensity,precipAccumulation,windSpeed,icon,windBearing,windGust,temperatureMin,temperatureMax
2025-05-17,16.2929,95.3948,Bogale,Asia/Rangoon,Occasional rain,0.97,0.34,0.34,8.1,rain,129,20.7,78,88
2025-05-18,16.2929,95.3948,Bogale,Asia/Rangoon,"Rather cloudy, a little rain",0.8,0.02,0.02,9.2,rain,147,18.4,78,91
2025-05-19,16.2929,95.3948,Bogale,Asia/Rangoon,"Mostly cloudy, a little rain",0.8,0.1,0.1,9.2,rain,196,17.3,79,94
2025-05-20,16.2929,95.3948,Bogale,Asia/Rangoon,"Mostly cloudy, a little rain",0.74,0.1,0.1,8.1,rain,186,18.4,79,92
2025-05-21,16.2929,95.3948,Bogale,Asia/Rangoon,Periods of rain,0.91,0.2,0.2,8.1,rain,182,18.4,79,92
2025-05-22,16.2929,95.3948,Bogale,Asia/Rangoon,Some rain and a thunderstorm,0.55,0.12,0.12,8.1,rain,191,13.8,79,91
2025-05-23,16.2929,95.3948,Bogale,Asia/Rangoon,Rain and a thunderstorm,0.65,0.5,0.5,2.3,rain,209,9.2,79,90
2025-05-24,16.2929,95.3948,Bogale,Asia/Rangoon,Periods of rain,0.6,0.27,0.27,3.5,rain,131,12.7,78,87
2025-05-25,16.2929,95.3948,Bogale,Asia/Rangoon,Periods of rain,0.73,0.73,0.73,4.6,rain,187,16.1,79,86
2025-05-26,16.2929,95.3948,Bogale,Asia/Rangoon,Rain,0.75,0.35,0.35,5.8,rain,128,19.6,80,85
2025-05-17,17.2537,95.5944,Danubyu,Asia/Rangoon,Occasional rain,0.91,0.28,0.28,8.1,rain,133,19.6,77,89
2025-05-18,17.2537,95.5944,Danubyu,Asia/Rangoon,Occasional afternoon rain,0.63,0.16,0.16,8.1,thunderstorm,139,18.4,77,91
2025-05-19,17.2537,95.5944,Danubyu,Asia/Rangoon,"Mostly cloudy, a little rain",0.94,0.69,0.69,8.1,rain,184,17.3,77,93
2025-05-20,17.2537,95.5944,Danubyu,Asia/Rangoon,Periods of rain,0.91,0.46,0.46,8.1,rain,167,17.3,78,93
2025-05-21,17.2537,95.5944,Danubyu,Asia/Rangoon,Periods of rain,0.91,0.43,0.43,8.1,rain,173,17.3,78,91
2025-05-22,17.2537,95.5944,Danubyu,Asia/Rangoon,Occasional afternoon rain,0.68,0.13,0.13,6.9,sprinkles,188,17.3,78,94
2025-05-23,17.2537,95.5944,Danubyu,Asia/Rangoon,Periods of rain,0.66,0.35,0.35,2.3,rain,151,8.1,80,90
2025-05-24,17.2537,95.5944,Danubyu,Asia/Rangoon,Periods of rain,0.64,0.44,0.44,4.6,rain,147,16.1,79,89
2025-05-25,17.2537,95.5944,Danubyu,Asia/Rangoon,Rain in the afternoon,0.75,0.56,0.56,3.5,rain,166,13.8,80,88
2025-05-26,17.2537,95.5944,Danubyu,Asia/Rangoon,Rain,0.75,0.67,0.67,6.9,rain,122,19.6,76,88
2025-05-17,16.4102,95.8871,Dedaye,Asia/Rangoon,Occasional rain,0.97,0.43,0.43,6.9,rain,132,18.4,79,87
2025-05-18,16.4102,95.8871,Dedaye,Asia/Rangoon,Occasional morning rain,0.55,0.01,0.01,9.2,rain,145,23.0,78,91
2025-05-19,16.4102,95.8871,Dedaye,Asia/Rangoon,A little afternoon rain,0.63,0.06,0.06,9.2,rain,183,20.7,79,93
2025-05-20,16.4102,95.8871,Dedaye,Asia/Rangoon,"Mainly cloudy, a little rain",0.63,0.04,0.04,9.2,rain,173,21.9,78,92
2025-05-21,16.4102,95.8871,Dedaye,Asia/Rangoon,"Mostly cloudy, a little rain",0.83,0.17,0.17,9.2,rain,181,20.7,79,92
2025-05-22,16.4102,95.8871,Dedaye,Asia/Rangoon,Rain in the afternoon,0.7,0.17,0.17,8.1,rain,191,17.3,78,92
2025-05-23,16.4102,95.8871,Dedaye,Asia/Rangoon,Rain and a thunderstorm,0.73,0.92,0.92,2.3,rain,133,9.2,81,89
2025-05-24,16.4102,95.8871,Dedaye,Asia/Rangoon,"Mostly cloudy, a little rain",0.57,0.12,0.12,4.6,rain,143,16.1,80,90
2025-05-25,16.4102,95.8871,Dedaye,Asia/Rangoon,Rain at times,0.66,0.45,0.45,5.8,rain,178,18.4,80,88
2025-05-26,16.4102,95.8871,Dedaye,Asia/Rangoon,Rain,0.75,0.4,0.4,6.9,rain,146,21.9,78,87
2025-05-17,16.8974,95.1782,Einme,Asia/Rangoon,Occasional rain,0.91,0.28,0.28,8.1,rain,133,19.6,77,89
2025-05-18,16.8974,95.1782,Einme,Asia/Rangoon,Occasional afternoon rain,0.63,0.16,0.16,8.1,thunderstorm,139,18.4,77,91
2025-05-19,16.8974,95.1782,Einme,Asia/Rangoon,"Mostly cloudy, a little rain",0.94,0.69,0.69,8.1,rain,184,17.3,77,93
2025-05-20,16.8974,95.1782,Einme,Asia/Rangoon,Periods of rain,0.91,0.46,0.46,8.1,rain,167,17.3,78,93
2025-05-21,16.8974,95.1782,Einme,Asia/Rangoon,Periods of rain,0.91,0.43,0.43,8.1,rain,173,17.3,78,91
2025-05-22,16.8974,95.1782,Einme,Asia/Rangoon,Occasional afternoon rain,0.68,0.13,0.13,6.9,sprinkles,188,17.3,78,94
2025-05-23,16.8974,95.1782,Einme,Asia/Rangoon,Periods of rain,0.66,0.35,0.35,2.3,rain,151,8.1,80,90
2025-05-24,16.8974,95.1782,Einme,Asia/Rangoon,Periods of rain,0.64,0.44,0.44,4.6,rain,147,16.1,79,89
2025-05-25,16.8974,95.1782,Einme,Asia/Rangoon,Rain in the afternoon,0.75,0.56,0.56,3.5,rain,166,13.8,80,88
2025-05-26,16.8974,95.1782,Einme,Asia/Rangoon,Rain,0.75,0.67,0.67,6.9,rain,122,19.6,76,88
2025-05-17,17.5604,95.4821,Hinthada,Asia/Rangoon,Occasional rain,0.91,0.14,0.14,6.9,rain,148,19.6,77,91
2025-05-18,17.5604,95.4821,Hinthada,Asia/Rangoon,"Rather cloudy, a little rain",0.88,0.17,0.17,6.9,rain,139,17.3,77,92
2025-05-19,17.5604,95.4821,Hinthada,Asia/Rangoon,Afternoon rain,0.78,0.19,0.19,6.9,rain,177,21.9,77,94
2025-05-20,17.5604,95.4821,Hinthada,Asia/Rangoon,Occasional afternoon rain,0.61,0.04,0.04,8.1,rain,176,19.6,78,94
2025-05-21,17.5604,95.4821,Hinthada,Asia/Rangoon,"Mostly cloudy, a little rain",0.82,0.19,0.19,8.1,rain,163,24.2,79,92
2025-05-22,17.5604,95.4821,Hinthada,Asia/Rangoon,A bit of afternoon rain,0.56,0.06,0.06,6.9,rain,181,15.0,79,96
2025-05-23,17.5604,95.4821,Hinthada,Asia/Rangoon,Rain and a thunderstorm,0.65,0.31,0.31,3.5,rain,158,11.5,80,92
2025-05-24,17.5604,95.4821,Hinthada,Asia/Rangoon,Afternoon rain,0.69,0.14,0.14,4.6,rain,159,13.8,81,90
2025-05-25,17.5604,95.4821,Hinthada,Asia/Rangoon,Rain at times,0.72,1.13,1.13,3.5,rain,165,13.8,80,89
2025-05-26,17.5604,95.4821,Hinthada,Asia/Rangoon,Rain becoming steadier; humid,0.85,0.71,0.71,9.2,rain,121,25.3,80,88
