date,date_units,latitude,longitude,generationtime_ms,utc_offset_seconds,timezone,timezone_abbreviation,elevation,weather_code,weather_code_units,temperature_2m_max,temperature_2m_max_units,temperature_2m_min,temperature_2m_min_units,apparent_temperature_max,apparent_temperature_max_units,apparent_temperature_min,apparent_temperature_min_units,sunrise,sunrise_units,sunset,sunset_units,daylight_duration,daylight_duration_units,sunshine_duration,sunshine_duration_units,uv_index_max,uv_index_max_units,uv_index_clear_sky_max,uv_index_clear_sky_max_units,rain_sum,rain_sum_units,showers_sum,showers_sum_units,snowfall_sum,snowfall_sum_units,precipitation_sum,precipitation_sum_units,precipitation_hours,precipitation_hours_units,precipitation_probability_max,precipitation_probability_max_units,wind_speed_10m_max,wind_speed_10m_max_units,wind_gusts_10m_max,wind_gusts_10m_max_units,wind_direction_10m_dominant,wind_direction_10m_dominant_units,shortwave_radiation_sum,shortwave_radiation_sum_units,et0_fao_evapotranspiration,et0_fao_evapotranspiration_units
2025-05-20,iso8601,16.25,95.375,1.987457275390625,0,GMT,GMT,6.0,80,wmo code,32.8,°C,26.5,°C,38.9,°C,33.3,°C,2025-05-19T23:06,iso8601,2025-05-20T12:03,iso8601,46584.74,s,33789.54,s,8.5,,9.1,,0.0,mm,2.1,mm,0.0,cm,2.1,mm,6.0,h,65,%,12.8,km/h,25.2,km/h,172,°,18.8,MJ/m²,4.14,mm
2025-05-21,iso8601,16.25,95.375,1.987457275390625,0,GMT,GMT,6.0,95,wmo code,33.0,°C,26.5,°C,39.9,°C,33.4,°C,2025-05-20T23:06,iso8601,2025-05-21T12:03,iso8601,46618.01,s,35454.55,s,8.55,,9.05,,0.0,mm,4.1,mm,0.0,cm,4.1,mm,7.0,h,60,%,12.8,km/h,25.9,km/h,180,°,19.8,MJ/m²,4.31,mm
2025-05-22,iso8601,16.25,95.375,1.987457275390625,0,GMT,GMT,6.0,96,wmo code,33.4,°C,26.7,°C,41.0,°C,33.8,°C,2025-05-21T23:06,iso8601,2025-05-22T12:03,iso8601,46650.35,s,31930.76,s,5.4,,9.1,,0.0,mm,5.6,mm,0.0,cm,5.6,mm,8.0,h,78,%,13.0,km/h,25.9,km/h,221,°,19.72,MJ/m²,4.26,mm
2025-05-23,iso8601,16.25,95.375,1.987457275390625,0,GMT,GMT,6.0,80,wmo code,33.2,°C,26.6,°C,41.0,°C,33.6,°C,2025-05-22T23:06,iso8601,2025-05-23T12:04,iso8601,46681.71,s,30611.69,s,7.3,,9.1,,0.0,mm,11.7,mm,0.0,cm,11.7,mm,15.0,h,88,%,11.4,km/h,26.3,km/h,194,°,18.53,MJ/m²,3.97,mm
2025-05-24,iso8601,16.25,95.375,1.987457275390625,0,GMT,GMT,6.0,95,wmo code,32.6,°C,26.7,°C,39.8,°C,33.8,°C,2025-05-23T23:06,iso8601,2025-05-24T12:04,iso8601,46712.05,s,35085.88,s,7.8,,9.1,,0.0,mm,13.5,mm,0.0,cm,13.5,mm,12.0,h,93,%,13.5,km/h,25.6,km/h,163,°,17.45,MJ/m²,3.79,mm
2025-05-25,iso8601,16.25,95.375,1.987457275390625,0,GMT,GMT,6.0,95,wmo code,31.2,°C,26.5,°C,38.1,°C,32.4,°C,2025-05-24T23:06,iso8601,2025-05-25T12:04,iso8601,46741.31,s,33497.6,s,1.8,,8.6,,0.2,mm,20.7,mm,0.0,cm,20.9,mm,23.0,h,95,%,11.2,km/h,23.8,km/h,182,°,13.4,MJ/m²,2.82,mm
2025-05-26,iso8601,16.25,95.375,1.987457275390625,0,GMT,GMT,6.0,80,wmo code,30.0,°C,25.8,°C,34.2,°C,31.7,°C,2025-05-25T23:05,iso8601,2025-05-26T12:05,iso8601,46769.47,s,19722.82,s,2.5,,8.6,,1.0,mm,5.7,mm,0.0,cm,7.0,mm,10.0,h,93,%,15.3,km/h,33.5,km/h,181,°,12.31,MJ/m²,2.62,mm
2025-05-20,iso8601,17.25,95.625,0.21123886108398438,0,GMT,GMT,4.0,45,wmo code,34.2,°C,26.6,°C,40.5,°C,33.6,°C,2025-05-19T23:04,iso8601,2025-05-20T12:03,iso8601,46780.15,s,39431.6,s,9.1,,9.1,,0.0,mm,0.1,mm,0.0,cm,0.1,mm,1.0,h,43,%,10.5,km/h,21.2,km/h,182,°,20.44,MJ/m²,4.56,mm
2025-05-21,iso8601,17.25,95.625,0.21123886108398438,0,GMT,GMT,4.0,95,wmo code,34.3,°C,26.6,°C,41.5,°C,33.6,°C,2025-05-20T23:04,iso8601,2025-05-21T12:04,iso8601,46815.6,s,37975.86,s,7.95,,9.1,,0.0,mm,6.4,mm,0.0,cm,6.4,mm,7.0,h,65,%,10.9,km/h,23.8,km/h,188,°,21.67,MJ/m²,4.8,mm
2025-05-22,iso8601,17.25,95.625,0.21123886108398438,0,GMT,GMT,4.0,95,wmo code,34.6,°C,26.9,°C,42.0,°C,34.0,°C,2025-05-21T23:03,iso8601,2025-05-22T12:04,iso8601,46850.05,s,42132.62,s,9.1,,9.1,,0.0,mm,2.5,mm,0.0,cm,2.5,mm,4.0,h,73,%,10.4,km/h,22.3,km/h,215,°,22.4,MJ/m²,4.9,mm
2025-05-23,iso8601,17.25,95.625,0.21123886108398438,0,GMT,GMT,4.0,96,wmo code,34.0,°C,26.8,°C,41.8,°C,34.1,°C,2025-05-22T23:03,iso8601,2025-05-23T12:04,iso8601,46883.45,s,36916.72,s,8.45,,9.1,,0.0,mm,7.2,mm,0.0,cm,7.2,mm,9.0,h,75,%,13.6,km/h,27.7,km/h,194,°,20.77,MJ/m²,4.47,mm
2025-05-24,iso8601,17.25,95.625,0.21123886108398438,0,GMT,GMT,4.0,95,wmo code,34.0,°C,26.7,°C,41.1,°C,33.7,°C,2025-05-23T23:03,iso8601,2025-05-24T12:05,iso8601,46915.77,s,39875.19,s,8.1,,9.1,,0.0,mm,10.2,mm,0.0,cm,10.2,mm,9.0,h,86,%,15.1,km/h,30.6,km/h,159,°,20.47,MJ/m²,4.44,mm
