data_source,date,extraction_date,state,district,township,latitude,longitude,timezone,summary,precipitation_probability,precipitation_intensity_inches_per_hour,precipitation_accumulation_inches,wind_speed_miles_per_hour,icon,wind_bearing_degrees,wind_gust_miles_per_hour,temperature_min_fahrenheit,temperature_max_fahrenheit
ambient weather,2025-05-28,2025-05-29,Ayeyarwady,Pyapon,Bogale,16.2929,95.3948,Asia/Rangoon,Rain and a t-storm; breezy,1.0,0.61,0.61,13.8,rain,187,34.5,79,84
ambient weather,2025-05-29,2025-05-29,Ayeyarwady,Pyapon,Bogale,16.2929,95.3948,Asia/Rangoon,Breezy with periods of rain,0.91,0.34,0.34,12.7,rain,202,36.8,78,89
ambient weather,2025-05-30,2025-05-29,Ayeyarwady,Pyapon,Bogale,16.2929,95.3948,Asia/Rangoon,Breezy with periods of rain,0.91,0.34,0.34,11.5,rain,207,32.2,78,87
ambient weather,2025-05-31,2025-05-29,Ayeyarwady,Pyapon,Bogale,16.2929,95.3948,Asia/Rangoon,"Morning t-storms, then rain",0.93,0.42,0.42,10.4,thunderstorm,202,31.1,78,85
ambient weather,2025-06-01,2025-05-29,Ayeyarwady,Pyapon,Bogale,16.2929,95.3948,Asia/Rangoon,Breezy with rain,0.94,0.56,0.56,13.8,rain,213,28.8,79,85
ambient weather,2025-06-02,2025-05-29,Ayeyarwady,Pyapon,Bogale,16.2929,95.3948,Asia/Rangoon,Morning thunderstorms,0.88,0.24,0.24,11.5,thunderstorm,246,33.4,77,85
ambient weather,2025-06-03,2025-05-29,Ayeyarwady,Pyapon,Bogale,16.2929,95.3948,Asia/Rangoon,Periods of rain,0.62,0.34,0.34,9.2,rain,248,28.8,78,88
ambient weather,2025-06-04,2025-05-29,Ayeyarwady,Pyapon,Bogale,16.2929,95.3948,Asia/Rangoon,Cloudy with a little rain,0.65,0.57,0.57,5.8,rain,233,16.1,79,87
ambient weather,2025-06-05,2025-05-29,Ayeyarwady,Pyapon,Bogale,16.2929,95.3948,Asia/Rangoon,Rain in the afternoon,0.75,0.31,0.31,4.6,rain,259,15.0,78,85
ambient weather,2025-06-06,2025-05-29,Ayeyarwady,Pyapon,Bogale,16.2929,95.3948,Asia/Rangoon,Rain at times,0.75,1.48,1.48,3.5,rain,258,11.5,79,87
ambient weather,2025-05-28,2025-05-29,Ayeyarwady,Maubin,Danubyu,17.2537,95.5944,Asia/Rangoon,Breezy with rain,1.0,1.06,1.06,13.8,rain,174,34.5,77,87
ambient weather,2025-05-29,2025-05-29,Ayeyarwady,Maubin,Danubyu,17.2537,95.5944,Asia/Rangoon,Rain and a t-storm; breezy,0.94,0.4,0.4,13.8,rain,201,36.8,78,90
ambient weather,2025-05-30,2025-05-29,Ayeyarwady,Maubin,Danubyu,17.2537,95.5944,Asia/Rangoon,"Morning t-storms, then rain",0.97,0.79,0.79,15.0,thunderstorm,204,33.4,77,87
ambient weather,2025-05-31,2025-05-29,Ayeyarwady,Maubin,Danubyu,17.2537,95.5944,Asia/Rangoon,A couple of morning t-storms,0.97,0.66,0.66,11.5,thunderstorm,197,29.9,77,86
ambient weather,2025-06-01,2025-05-29,Ayeyarwady,Maubin,Danubyu,17.2537,95.5944,Asia/Rangoon,Rain; breezy in the afternoon,0.94,0.52,0.52,13.8,rain,209,31.1,77,86
ambient weather,2025-06-02,2025-05-29,Ayeyarwady,Maubin,Danubyu,17.2537,95.5944,Asia/Rangoon,"Rain, a thunderstorm",0.94,0.62,0.62,11.5,rain,227,34.5,77,85
ambient weather,2025-06-03,2025-05-29,Ayeyarwady,Maubin,Danubyu,17.2537,95.5944,Asia/Rangoon,A couple of morning t-storms,0.63,0.3,0.3,9.2,thunderstorm,254,26.5,77,86
