date,latitude,longitude,township,timezone,summary,precipProbability,precipIntensity,precipAccumulation,windSpeed,icon,windBearing,windGust,temperatureMin,temperatureMax
2025-05-15,16.2929,95.3948,Bogale,Asia/Rangoon,Rain and a thunderstorm,1.0,1.73,1.73,9.2,rain,153,17.3,75,84
2025-05-16,16.2929,95.3948,Bogale,Asia/Rangoon,Rain at times,0.93,0.47,0.47,10.4,rain,184,20.7,76,85
2025-05-17,16.2929,95.3948,Bogale,Asia/Rangoon,Occasional rain,0.95,0.66,0.66,8.1,rain,189,23.0,78,88
2025-05-18,16.2929,95.3948,Bogale,Asia/Rangoon,Cloudy with a little rain,0.81,0.12,0.12,6.9,rain,137,19.6,78,86
2025-05-19,16.2929,95.3948,Bogale,Asia/Rangoon,Periods of rain,0.91,0.55,0.55,6.9,rain,178,19.6,78,90
2025-05-20,16.2929,95.3948,Bogale,Asia/Rangoon,Periods of rain,0.65,0.61,0.61,6.9,rain,213,13.8,79,91
2025-05-21,16.2929,95.3948,Bogale,Asia/Rangoon,Periods of rain,0.6,0.19,0.19,3.5,rain,166,12.7,79,89
2025-05-22,16.2929,95.3948,Bogale,Asia/Rangoon,Rain and a thunderstorm,0.66,0.71,0.71,3.5,rain,166,13.8,78,90
2025-05-23,16.2929,95.3948,Bogale,Asia/Rangoon,Rain and a thunderstorm,0.65,0.26,0.26,4.6,rain,197,13.8,79,90
2025-05-24,16.2929,95.3948,Bogale,Asia/Rangoon,Rain,0.75,0.56,0.56,4.6,rain,178,12.7,78,86
2025-05-15,17.2537,95.5944,Danubyu,Asia/Rangoon,"Morning t-storms, then rain",1.0,0.2,0.2,10.4,thunderstorm,108,17.3,74,84
2025-05-16,17.2537,95.5944,Danubyu,Asia/Rangoon,Occasional rain,0.98,0.84,0.84,10.4,rain,148,27.6,75,85
2025-05-17,17.2537,95.5944,Danubyu,Asia/Rangoon,Occasional rain,0.91,0.34,0.34,6.9,rain,130,19.6,77,87
2025-05-18,17.2537,95.5944,Danubyu,Asia/Rangoon,A bit of afternoon rain,0.64,0.1,0.1,8.1,rain,147,19.6,77,87
2025-05-19,17.2537,95.5944,Danubyu,Asia/Rangoon,Periods of rain,0.96,1.12,1.12,6.9,rain,188,21.9,77,90
2025-05-20,17.2537,95.5944,Danubyu,Asia/Rangoon,Periods of rain,0.74,0.61,0.61,6.9,rain,222,20.7,78,94
2025-05-21,17.2537,95.5944,Danubyu,Asia/Rangoon,Periods of rain,0.61,0.31,0.31,4.6,rain,158,15.0,80,91
2025-05-22,17.2537,95.5944,Danubyu,Asia/Rangoon,Rain in the afternoon,0.75,0.6,0.6,4.6,rain,172,13.8,79,92
2025-05-23,17.2537,95.5944,Danubyu,Asia/Rangoon,Periods of rain,0.71,1.07,1.07,4.6,rain,177,12.7,80,91
2025-05-24,17.2537,95.5944,Danubyu,Asia/Rangoon,Rain,0.75,0.3,0.3,4.6,rain,162,16.1,77,90
2025-05-15,16.4102,95.8871,Dedaye,Asia/Rangoon,Rain and a thunderstorm,1.0,1.36,1.36,8.1,rain,157,19.6,76,83
2025-05-16,16.4102,95.8871,Dedaye,Asia/Rangoon,Occasional rain,0.93,0.48,0.48,10.4,rain,176,21.9,76,84
2025-05-17,16.4102,95.8871,Dedaye,Asia/Rangoon,Cloudy with a little rain,0.86,0.38,0.38,8.1,rain,188,24.2,78,87
2025-05-18,16.4102,95.8871,Dedaye,Asia/Rangoon,Periods of rain,0.91,0.36,0.36,5.8,rain,150,18.4,78,88
2025-05-19,16.4102,95.8871,Dedaye,Asia/Rangoon,Rain in the afternoon,0.82,0.56,0.56,6.9,rain,176,19.6,78,88
2025-05-20,16.4102,95.8871,Dedaye,Asia/Rangoon,Periods of rain,0.62,0.4,0.4,6.9,rain,203,16.1,79,91
2025-05-21,16.4102,95.8871,Dedaye,Asia/Rangoon,Periods of rain,0.6,0.18,0.18,3.5,rain,170,17.3,80,90
2025-05-22,16.4102,95.8871,Dedaye,Asia/Rangoon,Rain in the afternoon,0.71,0.25,0.25,4.6,rain,169,16.1,79,91
2025-05-23,16.4102,95.8871,Dedaye,Asia/Rangoon,Rain and a thunderstorm,0.65,0.55,0.55,4.6,rain,169,17.3,81,90
2025-05-24,16.4102,95.8871,Dedaye,Asia/Rangoon,Periods of rain and a t-storm,0.65,0.41,0.41,5.8,rain,185,17.3,79,89
2025-05-15,16.8974,95.1782,Einme,Asia/Rangoon,"Morning t-storms, then rain",1.0,0.2,0.2,10.4,thunderstorm,108,17.3,74,84
2025-05-16,16.8974,95.1782,Einme,Asia/Rangoon,Occasional rain,0.98,0.84,0.84,10.4,rain,148,27.6,75,85
2025-05-17,16.8974,95.1782,Einme,Asia/Rangoon,Occasional rain,0.91,0.34,0.34,6.9,rain,130,19.6,77,87
2025-05-18,16.8974,95.1782,Einme,Asia/Rangoon,A bit of afternoon rain,0.64,0.1,0.1,8.1,rain,147,19.6,77,87
2025-05-19,16.8974,95.1782,Einme,Asia/Rangoon,Periods of rain,0.96,1.12,1.12,6.9,rain,188,21.9,77,90
2025-05-20,16.8974,95.1782,Einme,Asia/Rangoon,Periods of rain,0.74,0.61,0.61,6.9,rain,222,20.7,78,94
